Date,Close,Fall,Rise,No_Change,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6
1980-05-28,3.145833,0,1,0,3.010417,2.989583,2.916667,2.78125,2.75,2.6875
1980-05-29,3.083333,1,0,0,3.145833,3.010417,2.989583,2.916667,2.78125,2.75
1980-05-30,3.166667,0,1,0,3.083333,3.145833,3.010417,2.989583,2.916667,2.78125
1980-06-02,3.104167,1,0,0,3.166667,3.083333,3.145833,3.010417,2.989583,2.916667
1980-06-03,3.020833,1,0,0,3.104167,3.166667,3.083333,3.145833,3.010417,2.989583
1980-06-04,3.072917,0,1,0,3.020833,3.104167,3.166667,3.083333,3.145833,3.010417
1980-06-05,3.020833,1,0,0,3.072917,3.020833,3.104167,3.166667,3.083333,3.145833
1980-06-06,3.0,1,0,0,3.020833,3.072917,3.020833,3.104167,3.166667,3.083333
1980-06-09,2.864583,1,0,0,3.0,3.020833,3.072917,3.020833,3.104167,3.166667
1980-06-10,2.96875,0,1,0,2.864583,3.0,3.020833,3.072917,3.020833,3.104167
1980-06-11,3.052083,0,1,0,2.96875,2.864583,3.0,3.020833,3.072917,3.020833
1980-06-12,3.09375,0,1,0,3.052083,2.96875,2.864583,3.0,3.020833,3.072917
1980-06-13,3.09375,0,0,1,3.09375,3.052083,2.96875,2.864583,3.0,3.020833
1980-06-16,3.03125,1,0,0,3.09375,3.09375,3.052083,2.96875,2.864583,3.0
1980-06-17,3.0625,0,1,0,3.03125,3.09375,3.09375,3.052083,2.96875,2.864583
1980-06-18,3.020833,1,0,0,3.0625,3.03125,3.09375,3.09375,3.052083,2.96875
1980-06-19,2.96875,1,0,0,3.020833,3.0625,3.03125,3.09375,3.09375,3.052083
1980-06-20,2.927083,1,0,0,2.96875,3.020833,3.0625,3.03125,3.09375,3.09375
1980-06-23,2.9375,0,1,0,2.927083,2.96875,3.020833,3.0625,3.03125,3.09375
1980-06-24,2.9375,0,0,1,2.9375,2.927083,2.96875,3.020833,3.0625,3.03125
1980-06-25,3.072917,0,1,0,2.9375,2.9375,2.927083,2.96875,3.020833,3.0625
1980-06-26,3.020833,1,0,0,3.072917,2.9375,2.9375,2.927083,2.96875,3.020833
1980-06-27,3.041667,0,1,0,3.020833,3.072917,2.9375,2.9375,2.927083,2.96875
1980-06-30,3.041667,0,0,1,3.041667,3.020833,3.072917,2.9375,2.9375,2.927083
1980-07-01,3.072917,0,1,0,3.041667,3.041667,3.020833,3.072917,2.9375,2.9375
1980-07-02,3.177083,0,1,0,3.072917,3.041667,3.041667,3.020833,3.072917,2.9375
1980-07-03,3.34375,0,1,0,3.177083,3.072917,3.041667,3.041667,3.020833,3.072917
1980-07-07,3.458333,0,1,0,3.34375,3.177083,3.072917,3.041667,3.041667,3.020833
1980-07-08,3.385417,1,0,0,3.458333,3.34375,3.177083,3.072917,3.041667,3.041667
1980-07-09,3.4375,0,1,0,3.385417,3.458333,3.34375,3.177083,3.072917,3.041667
1980-07-10,3.5,0,1,0,3.4375,3.385417,3.458333,3.34375,3.177083,3.072917
1980-07-11,3.614583,0,1,0,3.5,3.4375,3.385417,3.458333,3.34375,3.177083
1980-07-14,3.729167,0,1,0,3.614583,3.5,3.4375,3.385417,3.458333,3.34375
1980-07-15,3.708333,1,0,0,3.729167,3.614583,3.5,3.4375,3.385417,3.458333
1980-07-16,3.614583,1,0,0,3.708333,3.729167,3.614583,3.5,3.4375,3.385417
1980-07-17,3.645833,0,1,0,3.614583,3.708333,3.729167,3.614583,3.5,3.4375
1980-07-18,3.614583,1,0,0,3.645833,3.614583,3.708333,3.729167,3.614583,3.5
1980-07-21,3.572917,1,0,0,3.614583,3.645833,3.614583,3.708333,3.729167,3.614583
1980-07-22,3.572917,0,0,1,3.572917,3.614583,3.645833,3.614583,3.708333,3.729167
1980-07-23,3.5625,1,0,0,3.572917,3.572917,3.614583,3.645833,3.614583,3.708333
1980-07-24,3.583333,0,1,0,3.5625,3.572917,3.572917,3.614583,3.645833,3.614583
1980-07-25,3.510417,1,0,0,3.583333,3.5625,3.572917,3.572917,3.614583,3.645833
1980-07-28,3.520833,0,1,0,3.510417,3.583333,3.5625,3.572917,3.572917,3.614583
1980-07-29,3.739583,0,1,0,3.520833,3.510417,3.583333,3.5625,3.572917,3.572917
1980-07-30,4.03125,0,1,0,3.739583,3.520833,3.510417,3.583333,3.5625,3.572917
1980-07-31,4.135417,0,1,0,4.03125,3.739583,3.520833,3.510417,3.583333,3.5625
1980-08-01,4.260417,0,1,0,4.135417,4.03125,3.739583,3.520833,3.510417,3.583333
1980-08-04,4.3125,0,1,0,4.260417,4.135417,4.03125,3.739583,3.520833,3.510417
1980-08-05,4.364583,0,1,0,4.3125,4.260417,4.135417,4.03125,3.739583,3.520833
1980-08-06,4.239583,1,0,0,4.364583,4.3125,4.260417,4.135417,4.03125,3.739583
1980-08-07,4.21875,1,0,0,4.239583,4.364583,4.3125,4.260417,4.135417,4.03125
1980-08-08,4.270833,0,1,0,4.21875,4.239583,4.364583,4.3125,4.260417,4.135417
1980-08-11,4.416667,0,1,0,4.270833,4.21875,4.239583,4.364583,4.3125,4.260417
1980-08-12,4.354167,1,0,0,4.416667,4.270833,4.21875,4.239583,4.364583,4.3125
1980-08-13,4.270833,1,0,0,4.354167,4.416667,4.270833,4.21875,4.239583,4.364583
1980-08-14,4.385417,0,1,0,4.270833,4.354167,4.416667,4.270833,4.21875,4.239583
1980-08-15,4.333333,1,0,0,4.385417,4.270833,4.354167,4.416667,4.270833,4.21875
1980-08-18,4.104167,1,0,0,4.333333,4.385417,4.270833,4.354167,4.416667,4.270833
1980-08-19,3.947917,1,0,0,4.104167,4.333333,4.385417,4.270833,4.354167,4.416667
1980-08-20,4.166667,0,1,0,3.947917,4.104167,4.333333,4.385417,4.270833,4.354167
